WAVELENGTH,FLUX,CONTINUUM
1348.3436748984684,5.152845E-9,9.40416E-9
1349.6953910043617,5.0798334E-9,9.3882875E-9
1351.0484622154238,5.180621E-9,9.372416E-9
1352.4028899315565,5.2036353E-9,9.36448E-9
1353.758675352676,5.2290305E-9,9.348608E-9
1355.1158200786701,5.1853823E-9,9.3327355E-9
1356.4743252094627,5.083008E-9,9.316864E-9
1357.8341923449407,5.0084097E-9,9.300992E-9
1359.1954226850205,4.7235074E-9,9.293056E-9
1360.5580176296044,4.7687423E-9,9.2771835E-9
1361.921978678587,4.9107967E-9,9.261312E-9
1363.2873070318853,4.779853E-9,9.24544E-9
1364.6540041893932,4.70208E-9,9.237504E-9
1366.0220713510273,4.78144E-9,9.2216315E-9
1367.3915101166756,4.4092414E-9,9.20576E-9
1368.762321686254,4.2862336E-9,9.197824E-9
1370.1345075596575,4.7639808E-9,9.181952E-9
1371.508068936802,5.252838E-9,9.16608E-9
1372.8830074175762,5.3337854E-9,9.158144E-9
1374.2593242018957,5.121101E-9,9.142272E-9
1375.6370207896553,5.2314113E-9,9.1264E-9
1377.016098480764,5.5266303E-9,9.118464E-9
1378.3965587751175,5.2647424E-9,9.102592E-9
1379.7784029726242,4.8377857E-9,9.08672E-9
1381.1616323731935,4.6750976E-9,9.078784E-9
1382.5462485767134,4.9068287E-9,9.062912E-9
1383.9322527830993,4.967936E-9,9.04704E-9
1385.3196464922473,4.9909503E-9,9.039104E-9
1386.7084310040652,5.502822E-9,9.023232E-9
1388.0986078184494,5.830579E-9,9.015296E-9
1389.490178335301,6.080563E-9,8.999424E-9
1390.8831438545294,5.9012097E-9,8.983552E-9
1392.2775057760368,5.4845697E-9,8.975616E-9
1393.6732655997173,5.663923E-9,8.959744E-9
1395.070424725474,6.0297727E-9,8.951808E-9
1396.4689844532154,5.854387E-9,8.9359355E-9
1397.8689461828437,5.4909184E-9,8.928E-9
1399.2703115142467,5.4250497E-9,8.912128E-9
1400.673081547348,5.4829825E-9,8.896256E-9
1402.077257982028,5.5718656E-9,8.88832E-9
1403.482842118196,5.9607297E-9,8.872448E-9
1404.8898352557612,6.1559553E-9,8.864512E-9
1406.2982389946114,6.0424705E-9,8.84864E-9
1407.7080546346554,5.838515E-9,8.840704E-9
1409.119283575796,5.513933E-9,8.8248315E-9
1410.5319273179273,5.219507E-9,8.816896E-9
1411.9459871609592,5.3774336E-9,8.801024E-9
1413.3614647047793,5.3758464E-9,8.793088E-9
1414.7783612492967,5.023488E-9,8.777216E-9
1416.196678194413,5.1480833E-9,8.7692795E-9
1417.6164169400308,5.3702913E-9,8.753408E-9
1419.037579086038,5.50679E-9,8.745472E-9
1420.460165932344,5.641702E-9,8.737536E-9
1421.8841788788498,5.8353407E-9,8.721664E-9
1423.3096194254515,5.656781E-9,8.7137275E-9
1424.7364889720504,5.509965E-9,8.697856E-9
1426.164789018542,5.993267E-9,8.68992E-9
1427.5945208648354,6.0996097E-9,8.674048E-9
1429.025686010825,5.886131E-9,8.666112E-9
1430.4582859564066,5.2607745E-9,8.65024E-9
1431.892322001489,4.4806656E-9,8.642304E-9
1433.3277957459595,4.4989186E-9,8.642304E-9
1434.7647085897213,5.0679296E-9,8.634368E-9
1436.2030618326826,5.7345537E-9,8.618496E-9
1437.6428570747316,6.0638974E-9,8.6026235E-9
1439.084095715771,6.0726273E-9,8.594688E-9
1440.5267792556947,6.088499E-9,8.578816E-9
1441.9709089944129,5.9393024E-9,8.562944E-9
1443.4164865318126,6.0146945E-9,8.555008E-9
1444.8635132677964,6.2837247E-9,8.872448E-9
1446.3119906022664,6.4043517E-9,9.031168E-9
1447.7619200351173,6.3241985E-9,9.015296E-9
1449.2133030662444,6.4614913E-9,9.00736E-9
1450.6661410955496,6.553549E-9,8.9914876E-9
1452.120435622928,6.555136E-9,8.975616E-9
1453.5761880482812,6.5043455E-9,8.96768E-9
1455.0333998715053,6.3773697E-9,8.951808E-9
1456.4920724925014,6.455936E-9,8.9359355E-9
1457.9522075111577,6.5805312E-9,8.928E-9
1459.4138063273767,6.6138623E-9,8.912128E-9
1460.8768703410597,6.3987966E-9,8.904192E-9
1462.3414011520954,6.0226304E-9,8.88832E-9
1463.8074000603922,6.0615166E-9,8.872448E-9
1465.2748686658383,6.148019E-9,8.864512E-9
1466.7438084683297,5.5075837E-9,8.84864E-9
1468.2142208677672,5.2536318E-9,8.832768E-9
1469.6861073640462,5.5837694E-9,8.8248315E-9
1471.1594693570692,5.8004224E-9,8.80896E-9
1472.6343084467237,5.7147136E-9,8.793088E-9
1474.110626032912,5.413939E-9,8.785152E-9
1475.5884237155217,5.5559934E-9,8.7692795E-9
1477.0677027944625,5.823437E-9,8.753408E-9
1478.548464869622,6.0916734E-9,8.745472E-9
1480.0307114408954,6.094054E-9,8.7296E-9
1481.5144440081779,5.6171006E-9,8.721664E-9
1482.9996639713706,5.5059965E-9,8.705792E-9
1484.4863728303699,5.7250302E-9,8.68992E-9
1485.9745721850632,6.151987E-9,8.681984E-9
1487.4642634353522,6.6210046E-9,8.666112E-9
1488.9554480811325,6.8448E-9,8.65024E-9
1490.448127622299,6.7027455E-9,8.642304E-9
1491.9423035587463,5.978982E-9,8.626432E-9
1493.4379774903628,5.630592E-9,8.618496E-9
1494.9351508170505,6.2321406E-9,8.6026235E-9
1496.4338250387048,6.9249535E-9,8.586752E-9
1497.934001755213,7.1765247E-9,8.578816E-9
1499.4356822664847,7.0432E-9,8.562944E-9
1500.938868272401,6.8789245E-9,8.5470715E-9
1502.4435612728562,7.025741E-9,8.539136E-9
1503.949762667753,7.2082686E-9,8.523264E-9
1505.4574740569794,7.020979E-9,8.507392E-9
1506.9666969404302,6.590848E-9,8.499456E-9
1508.4774328180004,6.1154815E-9,8.483584E-9
1509.9896831895855,5.9432703E-9,8.475648E-9
1511.503449655073,5.9424767E-9,8.459776E-9
1513.018733614365,6.097229E-9,8.443904E-9
1514.5355366673502,6.1575425E-9,8.4915195E-9
1516.0538603139225,6.4432384E-9,8.6581755E-9
1517.573706053978,7.0059007E-9,8.65024E-9
1519.095075487404,7.040819E-9,8.634368E-9
1520.617970114096,6.907494E-9,8.920064E-9
1522.1423913339559,6.9082877E-9,8.9359355E-9
1523.6683408468648,6.764646E-9,9.015296E-9
1525.195820152717,5.9154943E-9,8.999424E-9
1526.724830751409,5.1520512E-9,9.142272E-9
1528.2553741428344,6.0321534E-9,9.1264E-9
1529.7874520268751,6.729728E-9,9.110528E-9
1531.3210657034401,6.2043646E-9,9.102592E-9
1532.85621687241,5.0607873E-9,9.08672E-9
1534.39290703368,5.285376E-9,9.070848E-9
1535.9311376871456,6.0083454E-9,9.054976E-9
1537.470910432694,6.2845182E-9,9.039104E-9
1539.0122267702209,6.497203E-9,9.031168E-9
1540.5550883996068,6.4265726E-9,9.015296E-9
1542.0994966207613,6.301184E-9,8.999424E-9
