#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
1.95540E+01                                                        3.1018303271192600E-03
1.96040E+01                                                        3.1696792590239800E-03
1.96540E+01                                                        3.2388291046370900E-03
1.97040E+01                                                        3.3093013820911100E-03
1.97550E+01                                                        3.3825000378563000E-03
1.98050E+01                                                        3.4557081729203500E-03
1.98560E+01                                                        3.5317389802565200E-03
1.99070E+01                                                        3.6092342549081100E-03
1.99580E+01                                                        3.6882182526964300E-03
2.00090E+01                                                        3.7687155672659100E-03
2.00600E+01                                                        3.8507511339968000E-03
2.01120E+01                                                        3.9359209940645900E-03
2.01630E+01                                                        4.0211378614529200E-03
2.02150E+01                                                        4.1095992741193900E-03
2.02670E+01                                                        4.1997621388109600E-03
2.03190E+01                                                        4.2916545041973700E-03
2.03710E+01                                                        4.3853048050800400E-03
2.04230E+01                                                        4.4807418667482000E-03
2.04750E+01                                                        4.5779949093769800E-03
2.05280E+01                                                        4.6789104139335100E-03
2.05800E+01                                                        4.7799175553420800E-03
2.06330E+01                                                        4.8847149828279100E-03
2.06860E+01                                                        4.9915181848730600E-03
2.07390E+01                                                        5.1003599511324300E-03
2.07920E+01                                                        5.2112735157906100E-03
2.08450E+01                                                        5.3242925624289500E-03
2.08980E+01                                                        5.4394512289351700E-03
2.09520E+01                                                        5.5588835508617000E-03
2.10060E+01                                                        5.6806013070347600E-03
2.10590E+01                                                        5.8024648319721800E-03
2.11130E+01                                                        5.9288260234408100E-03
2.11670E+01                                                        6.0575852225624800E-03
2.12220E+01                                                        6.1910785727009800E-03
2.12760E+01                                                        6.3247918453913900E-03
2.13310E+01                                                        6.4634029978141000E-03
2.13850E+01                                                        6.6022318383106200E-03
2.14400E+01                                                        6.7461269102457200E-03
2.14950E+01                                                        6.8927499452985500E-03
2.15500E+01                                                        7.0421447850865200E-03
2.16050E+01                                                        7.1943558468967300E-03
2.16600E+01                                                        7.3494281295934400E-03
2.17160E+01                                                        7.5101062105160700E-03
2.17720E+01                                                        7.6738342166675400E-03
2.18270E+01                                                        7.8378635138256900E-03
2.18830E+01                                                        8.0077883291004500E-03
2.19390E+01                                                        8.1809109230719900E-03
2.19950E+01                                                        8.3572821041095800E-03
2.20520E+01                                                        8.5399566814475200E-03
2.21080E+01                                                        8.7230334097334400E-03
2.21650E+01                                                        8.9126275955505000E-03
2.22220E+01                                                        9.1057917119861800E-03
2.22790E+01                                                        9.3025822916788400E-03
2.23360E+01                                                        9.5030565872603100E-03
2.23930E+01                                                        9.7072725782673800E-03
2.24500E+01                                                        9.9152889780970100E-03
2.25080E+01                                                        1.0130625456637500E-02
2.25650E+01                                                        1.0346482627833200E-02
2.26230E+01                                                        1.0569905530010100E-02
2.26810E+01                                                        1.0797498313933200E-02
2.27390E+01                                                        1.1029326151050200E-02
2.27970E+01                                                        1.1265455025305500E-02
2.28560E+01                                                        1.1509796981270000E-02
2.29140E+01                                                        1.1754796558310500E-02
2.29730E+01                                                        1.2008283168647100E-02
2.30320E+01                                                        1.2266483792005200E-02
2.30910E+01                                                        1.2529471537928800E-02
2.31500E+01                                                        1.2797320413076300E-02
2.32090E+01                                                        1.3070105329200700E-02
2.32690E+01                                                        1.3352248140210200E-02
2.33280E+01                                                        1.3635209144687300E-02
